"Publications at Dec 2021, taken from Microsoft Research site",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5,,,,
6,,achten2000porting,"Achten, Peter; Peyton Jones, Simon",Porting the Clean Object I/O library to Haskell,,,,September,194-213,2000,,,https://www.microsoft.com/en-us/research/publication/porting-the-clean-object-io-library-to-haskell/,"Proceedings of the 12th International workshop on the Implementation of Functional Languages, Aachen (IFL'00), selected papers",,"Proceedings of the 12th International workshop on the Implementation of Functional Languages, Aachen (IFL'00), selected papers",Lecture Notes in Computer Science,,Springer,,,,,,,"Pure, functional programming languages offer several solutions to construct Graphical User Interfaces. One of these approaches is the Clean Object I/O library. It employs an explicit environment passing scheme, based on the uniqueness type system of Clean. Graphical User Interface elements are defined on a high level of abstraction by means of algebraic data types. Composite elements are constructed by means of type constructor combinators. The behaviour of an interactive element is defined by higher order functions. These functions can use global and local state. The Object I/O system supports interleaved interactive processes. Interactive elements can communicate internally by means of message passing. Solutions for Graphical User Interfaces for the programming language Haskell are based on monads, using an implicit environment passing scheme. In this paper we investigate how the Clean Object I/O library can be ported to Haskell. We give an implementation of a small fragment of the Object I/O library to show the feasibility. We take especial consideration for the relevant design choices.",,,,,,,,
6,,akerholt1991a,"Akerholt, G.; Hammond, K.; Jones, S.L. Peyton; Trinder, P.; Peyton Jones, Simon",A parallel functional database on GRIP,,,,June,Sep-29,1991,,"CSTR 91-07, Department of Computer Science, University of Southampton",https://www.microsoft.com/en-us/research/publication/a-parallel-functional-database-grip/,"Proc Workshop on the Parallel Implementation of Functional Languages, Southampton",,"Proc Workshop on the Parallel Implementation of Functional Languages, Southampton",,,,,,,,,,"GRIP is a shared-memory multiprocessor designed for efficient parallel evaluation of functional languages, using compiled graph reduction. This paper investigates the feasibility of processing persistent data on GRIP, and presents results obtained from a pilot implementation. A database implemented in a pure functional language must be modified non-destructively, i.e. the original database must be preserved and a new copy constructed. The naive implementation provides evidence for the feasibility of data processing in the form of modest real-time speed-ups, and acceptable real-time performance. The functional database is also used to investigate the GRIP architecture, compared with an idealised machine. The particular features investigated are the thread-creation costs and caching of GRIP’s distributed memory.",,,,,,,,
5,,akerholt1993processing,"Akerholt, G.; Hammond, K.; Trinder, P.; Jones, S.L. Peyton; Peyton Jones, Simon","Processing transactions on GRIP, a parallel graph reducer",,,,June,634-647,1993,,,https://www.microsoft.com/en-us/research/publication/processing-transactions-on-grip-a-parallel-graph-reducer/,"Proc Parallel Architectures and Languages Europe (PARLE), Munich",,"Proc Parallel Architectures and Languages Europe (PARLE), Munich",,,,,,,,,,"The GRIP architecture allows efficient execution of functional programs on a multi-processor built from standard hardware components. State-of-the-art compilation techniques are combined with sophisticated runtime resource-control to give good parallel performance. This paper reports the results of running GRIP on an application which is apparently unsuited to the basic functional model: a database transaction manager incorporating updates as well as lookup transactions. The results obtained show good relative speedups for GRIP, with real performance advantages over the same application executing on sequential machines.",,,,,,,,
6,,allwood2009finding,"Allwood, Tristan; Peyton Jones, Simon; Eisenbach, Susan",Finding the needle: stack tracing for GHC,,,,May,,2009,,,https://www.microsoft.com/en-us/research/publication/finding-the-needle-stack-tracing-for-ghc/,ACM Symposium on Haskell,,ACM Symposium on Haskell,,,ACM,,,,,,,"Even Haskell programs can occasionally go wrong. Programs calling head onanemptylist,andincompletepatternsinfunctiondefinitions can cause program crashes, reporting little more than the preciselocationwhere error wasultimatelycalled.Beingtoldthat one application of the head function in your program went wrong, withoutknowingwhichuseofhead wentwrongcanbeinfuriating. Wepresentourworkonaddingtheabilitytogetstacktracesout of GHC, for example that our crashing head was used during the evaluation of foo, which was called during the evaluation of bar, during the evaluation of main. We provide a transformation that converts GHC Core programs into ones that pass a stack around, and a stack library that ensures bounded heap usage despite the highly recursive nature of Haskell. We call our extension to GHC StackTrace.",,,,,,,,
7,,baker-finch2004constructed,"Baker-Finch, Clem; Glynn, Kevin; Peyton Jones, Simon",Constructed Product Result Analysis for Haskell,Journal of Functional Programming,14,2,March,211-245,2004,,,https://www.microsoft.com/en-us/research/publication/constructed-product-result-analysis-haskell/,,,,,,,,,,,,,"Compilers for ML and Haskell typically go to a good deal of trouble to arrange that multiple arguments can be passed efficiently to a procedure. For some reason, less effort seems to be invested in ensuring that multiple results can also be returned efficiently.  In the context of the lazy functional language Haskell, we describe an analysis, Constructed Product Result (CPR) analysis, that determines when a function can profitably return multiple results in registers. The analysis is based only on a function's definition, and not on its uses (so separate compilation is easily supported) and the results of the analysis can be expressed by a transformation of the function definition alone. We discuss a variety of design issues that were addressed in our implementation, and give measurements of the effectiveness of our approach across a substantial benchmark set.  Overall, the price/performance ratio is good: the benefits are modest in general (though occasionally dramatic), but the costs in both complexity and compile time, are low.   ",,,,,,,,
6,,beale1981an,"Beale, N. C. L.; Peyton Jones, Simon",An Ada-compatible specification language,,,,January,139-143,1981,,,https://www.microsoft.com/en-us/research/publication/an-ada-compatible-specification-language/,Proc ACM conference,,Proc ACM conference,,,ACM,,,,,,,"This paper describes a notation for the formal specification of software packages. The main influences are the guarded commands of Dijkstra and the Algebraic Semantics of Guttag. However, a novel operator denoted by % is introduced, which allows algorithms to be abstracted in a specification, thereby creating a true specification language rather than another higher level language. The notation, called ADL/1, is designed to be used in conjunction with ADA but is equally suitable for other languages, and has been used for real time software written in Assembler and in a PASCAL-like language.",,,,,,,,
6,,bernardy2018linear,"Bernardy, Jean-Philippe; Boespflug, Mathieu; Newton, Ryan R.; Peyton Jones, Simon; Spiwack, Arnaud",Linear Haskell: practical linearity in a higher-order polymorphic language,,,,January,,2018,,,https://www.microsoft.com/en-us/research/publication/linear-haskell-practical-linearity-higher-order-polymorphic-language/,Principles of Programming Languages 2018 (POPL 2018),,,,,ACM,,,,,,,"Linear type systems have a long and storied history, but not a clear path forward to integrate with existing languages such as OCaml or Haskell. In this paper, we study a linear type system designed with two crucial properties in mind: backward-compatibility and code reuse across linear and non-linear users of a library. Only then can the benefits of linear types permeate conventional functional programming. Rather than bifurcate types into linear and non-linear counterparts, we instead attach linearity to function arrows. Linear functions can receive inputs from linearly-bound values, but can also operate over unrestricted, regular values.  To demonstrate the efficacy of our linear type system - both how easy it can be integrated into an existing language implementation and how streamlined it makes it to write programs with linear types - we implemented our type system in GHC, the leading Haskell compiler, and demonstrate two kinds of applications of linear types: mutable data with pure interfaces; and enforcing protocols in I/O-performing functions.  Here is my talk at Curry On, July 2018",,,,,,,,
6,,blackwell2004champagne,"Blackwell, Alan; Burnett, Margaret; Peyton Jones, Simon",Champagne Prototyping: A Research Technique for Early Evaluation of Complex End-User Programming Systems,,,,September,47-54,2004,,,https://www.microsoft.com/en-us/research/publication/champagne-prototyping-research-technique-early-evaluation-complex-end-user-programming-systems/,IEEE Symposium on Visual Languages and Human Centric Computing (VLHCC),,,,,IEEE,,,,,,,"Although a variety of evaluation techniques are available to researchers of visual and end-user programming systems, they are primarily suited to evaluation of research systems. It is important to have evaluation techniques suitable for real-world programming environments, in order to satisfy realworld product managers of the usefulness of proposed new features.  To help fill this gap, we present a new evaluation technique, based in part on Cognitive Dimensions and Attention Investment, called Champagne Prototyping"". The technique is an early-evaluation technique that is inexpensive to do", yet features the credibility that comes from being based on the real commercial environment of interest, and from working with real users of the environment.,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 If you are interested in this paper," you may also be interested in our earlier paper ""A user-centred approach to functions in Excel""; and in the European Spreadsheet Risk Interest Group (EuSpRIG).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
